stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
101,Van Cortlandt Park-242 St,40.889248,-73.898583,1,
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101NN,Van Cortlandt Park-242 St,40.889248,-73.898583,,101N
101NS,Van Cortlandt Park-242 St,40.889248,-73.898583,,101N
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101SN,Van Cortlandt Park-242 St,40.889248,-73.898583,,101S
101SS,Van Cortlandt Park-242 St,40.889248,-73.898583,,101S
103,238 St,40.884667,-73.900870,1,
103N,238 St,40.884667,-73.900870,,103
103S,238 St,40.884667,-73.900870,,103
103N,238 St,40.884667,-73.900870,,103
103NN,238 St,40.884667,-73.900870,,103N
103NS,238 St,40.884667,-73.900870,,103N
103S,238 St,40.884667,-73.900870,,103
103SN,238 St,40.884667,-73.900870,,103S
103SS,238 St,40.884667,-73.900870,,103S
104,231 St,40.878856,-73.904834,1,
104N,231 St,40.878856,-73.904834,,104
104S,231 St,40.878856,-73.904834,,104
104N,231 St,40.878856,-73.904834,,104
104NN,231 St,40.878856,-73.904834,,104N
104NS,231 St,40.878856,-73.904834,,104N
104S,231 St,40.878856,-73.904834,,104
104SN,231 St,40.878856,-73.904834,,104S
104SS,231 St,40.878856,-73.904834,,104S
106,Marble Hill-225 St,40.874561,-73.909831,1,
106N,Marble Hill-225 St,40.874561,-73.909831,,106
106S,Marble Hill-225 St,40.874561,-73.909831,,106
106N,Marble Hill-225 St,40.874561,-73.909831,,106
106NN,Marble Hill-225 St,40.874561,-73.909831,,106N
106NS,Marble Hill-225 St,40.874561,-73.909831,,106N
106S,Marble Hill-225 St,40.874561,-73.909831,,106
106SN,Marble Hill-225 St,40.874561,-73.909831,,106S
106SS,Marble Hill-225 St,40.874561,-73.909831,,106S
107,215 St,40.869444,-73.915279,1,
107N,215 St,40.869444,-73.915279,,107
107S,215 St,40.869444,-73.915279,,107
107N,215 St,40.869444,-73.915279,,107
107NN,215 St,40.869444,-73.915279,,107N
107NS,215 St,40.869444,-73.915279,,107N
107S,215 St,40.869444,-73.915279,,107
107SN,215 St,40.869444,-73.915279,,107S
107SS,215 St,40.869444,-73.915279,,107S
108,207 St,40.864621,-73.918822,1,
108N,207 St,40.864621,-73.918822,,108
108S,207 St,40.864621,-73.918822,,108
108N,207 St,40.864621,-73.918822,,108
108NN,207 St,40.864621,-73.918822,,108N
108NS,207 St,40.864621,-73.918822,,108N
108S,207 St,40.864621,-73.918822,,108
108SN,207 St,40.864621,-73.918822,,108S
108SS,207 St,40.864621,-73.918822,,108S
109,Dyckman St,40.860531,-73.925536,1,
109N,Dyckman St,40.860531,-73.925536,,109
109S,Dyckman St,40.860531,-73.925536,,109
109N,Dyckman St,40.860531,-73.925536,,109
109NN,Dyckman St,40.860531,-73.925536,,109N
109NS,Dyckman St,40.860531,-73.925536,,109N
109S,Dyckman St,40.860531,-73.925536,,109
109SN,Dyckman St,40.860531,-73.925536,,109S
109SS,Dyckman St,40.860531,-73.925536,,109S
110,191 St,40.855225,-73.929412,1,
110N,191 St,40.855225,-73.929412,,110
110S,191 St,40.855225,-73.929412,,110
110N,191 St,40.855225,-73.929412,,110
110NN,191 St,40.855225,-73.929412,,110N
110NS,191 St,40.855225,-73.929412,,110N
110S,191 St,40.855225,-73.929412,,110
110SN,191 St,40.855225,-73.929412,,110S
110SS,191 St,40.855225,-73.929412,,110S
111,181 St,40.849505,-73.933596,1,
111N,181 St,40.849505,-73.933596,,111
111S,181 St,40.849505,-73.933596,,111
111N,181 St,40.849505,-73.933596,,111
111NN,181 St,40.849505,-73.933596,,111N
111NS,181 St,40.849505,-73.933596,,111N
111S,181 St,40.849505,-73.933596,,111
111SN,181 St,40.849505,-73.933596,,111S
111SS,181 St,40.849505,-73.933596,,111S
112,168 St-Washington Hts,40.840556,-73.940133,1,
112N,168 St-Washington Hts,40.840556,-73.940133,,112
112S,168 St-Washington Hts,40.840556,-73.940133,,112
112N,168 St-Washington Hts,40.840556,-73.940133,,112
112NN,168 St-Washington Hts,40.840556,-73.940133,,112N
112NS,168 St-Washington Hts,40.840556,-73.940133,,112N
112S,168 St-Washington Hts,40.840556,-73.940133,,112
112SN,168 St-Washington Hts,40.840556,-73.940133,,112S
112SS,168 St-Washington Hts,40.840556,-73.940133,,112S
113,157 St,40.834041,-73.944890,1,
113N,157 St,40.834041,-73.944890,,113
113S,157 St,40.834041,-73.944890,,113
113N,157 St,40.834041,-73.944890,,113
113NN,157 St,40.834041,-73.944890,,113N
113NS,157 St,40.834041,-73.944890,,113N
113S,157 St,40.834041,-73.944890,,113
113SN,157 St,40.834041,-73.944890,,113S
113SS,157 St,40.834041,-73.944890,,113S
114,145 St,40.826551,-73.950360,1,
114N,145 St,40.826551,-73.950360,,114
114S,145 St,40.826551,-73.950360,,114
114N,145 St,40.826551,-73.950360,,114
114NN,145 St,40.826551,-73.950360,,114N
114NS,145 St,40.826551,-73.950360,,114N
114S,145 St,40.826551,-73.950360,,114
114SN,145 St,40.826551,-73.950360,,114S
114SS,145 St,40.826551,-73.950360,,114S
115,137 St-City College,40.822008,-73.953676,1,
115N,137 St-City College,40.822008,-73.953676,,115
115S,137 St-City College,40.822008,-73.953676,,115
115N,137 St-City College,40.822008,-73.953676,,115
115NN,137 St-City College,40.822008,-73.953676,,115N
115NS,137 St-City College,40.822008,-73.953676,,115N
115S,137 St-City College,40.822008,-73.953676,,115
115SN,137 St-City College,40.822008,-73.953676,,115S
115SS,137 St-City College,40.822008,-73.953676,,115S
116,125 St,40.815581,-73.958372,1,
116N,125 St,40.815581,-73.958372,,116
116S,125 St,40.815581,-73.958372,,116
116N,125 St,40.815581,-73.958372,,116
116NN,125 St,40.815581,-73.958372,,116N
116NS,125 St,40.815581,-73.958372,,116N
116S,125 St,40.815581,-73.958372,,116
116SN,125 St,40.815581,-73.958372,,116S
116SS,125 St,40.815581,-73.958372,,116S
117,116 St-Columbia University,40.807722,-73.964110,1,
117N,116 St-Columbia University,40.807722,-73.964110,,117
117S,116 St-Columbia University,40.807722,-73.964110,,117
117N,116 St-Columbia University,40.807722,-73.964110,,117
117NN,116 St-Columbia University,40.807722,-73.964110,,117N
117NS,116 St-Columbia University,40.807722,-73.964110,,117N
117S,116 St-Columbia University,40.807722,-73.964110,,117
117SN,116 St-Columbia University,40.807722,-73.964110,,117S
117SS,116 St-Columbia University,40.807722,-73.964110,,117S
118,Cathedral Pkwy (110 St),40.803967,-73.966847,1,
118N,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
118N,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
118NN,Cathedral Pkwy (110 St),40.803967,-73.966847,,118N
118NS,Cathedral Pkwy (110 St),40.803967,-73.966847,,118N
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
118SN,Cathedral Pkwy (110 St),40.803967,-73.966847,,118S
118SS,Cathedral Pkwy (110 St),40.803967,-73.966847,,118S
119,103 St,40.799446,-73.968379,1,
119N,103 St,40.799446,-73.968379,,119
119S,103 St,40.799446,-73.968379,,119
119N,103 St,40.799446,-73.968379,,119
119NN,103 St,40.799446,-73.968379,,119N
119NS,103 St,40.799446,-73.968379,,119N
119S,103 St,40.799446,-73.968379,,119
119SN,103 St,40.799446,-73.968379,,119S
119SS,103 St,40.799446,-73.968379,,119S
120,96 St,40.793919,-73.972323,1,
120N,96 St,40.793919,-73.972323,,120
120S,96 St,40.793919,-73.972323,,120
120N,96 St,40.793919,-73.972323,,120
120NN,96 St,40.793919,-73.972323,,120N
120NS,96 St,40.793919,-73.972323,,120N
120S,96 St,40.793919,-73.972323,,120
120SN,96 St,40.793919,-73.972323,,120S
120SS,96 St,40.793919,-73.972323,,120S
121,86 St,40.788644,-73.976218,1,
121N,86 St,40.788644,-73.976218,,121
121S,86 St,40.788644,-73.976218,,121
121N,86 St,40.788644,-73.976218,,121
121NN,86 St,40.788644,-73.976218,,121N
121NS,86 St,40.788644,-73.976218,,121N
121S,86 St,40.788644,-73.976218,,121
121SN,86 St,40.788644,-73.976218,,121S
121SS,86 St,40.788644,-73.976218,,121S
122,79 St,40.783934,-73.979917,1,
122N,79 St,40.783934,-73.979917,,122
122S,79 St,40.783934,-73.979917,,122
122N,79 St,40.783934,-73.979917,,122
122NN,79 St,40.783934,-73.979917,,122N
122NS,79 St,40.783934,-73.979917,,122N
122S,79 St,40.783934,-73.979917,,122
122SN,79 St,40.783934,-73.979917,,122S
122SS,79 St,40.783934,-73.979917,,122S
123,72 St,40.778453,-73.981970,1,
123N,72 St,40.778453,-73.981970,,123
123S,72 St,40.778453,-73.981970,,123
123N,72 St,40.778453,-73.981970,,123
123NN,72 St,40.778453,-73.981970,,123N
123NS,72 St,40.778453,-73.981970,,123N
123S,72 St,40.778453,-73.981970,,123
123SN,72 St,40.778453,-73.981970,,123S
123SS,72 St,40.778453,-73.981970,,123S
124,66 St-Lincoln Center,40.773440,-73.982209,1,
124N,66 St-Lincoln Center,40.773440,-73.982209,,124
124S,66 St-Lincoln Center,40.773440,-73.982209,,124
124N,66 St-Lincoln Center,40.773440,-73.982209,,124
124NN,66 St-Lincoln Center,40.773440,-73.982209,,124N
124NS,66 St-Lincoln Center,40.773440,-73.982209,,124N
124S,66 St-Lincoln Center,40.773440,-73.982209,,124
124SN,66 St-Lincoln Center,40.773440,-73.982209,,124S
124SS,66 St-Lincoln Center,40.773440,-73.982209,,124S
125,59 St-Columbus Circle,40.768247,-73.981929,1,
125N,59 St-Columbus Circle,40.768247,-73.981929,,125
125S,59 St-Columbus Circle,40.768247,-73.981929,,125
125N,59 St-Columbus Circle,40.768247,-73.981929,,125
125NN,59 St-Columbus Circle,40.768247,-73.981929,,125N
125NS,59 St-Columbus Circle,40.768247,-73.981929,,125N
125S,59 St-Columbus Circle,40.768247,-73.981929,,125
125SN,59 St-Columbus Circle,40.768247,-73.981929,,125S
125SS,59 St-Columbus Circle,40.768247,-73.981929,,125S
126,50 St,40.761728,-73.983849,1,
126N,50 St,40.761728,-73.983849,,126
126S,50 St,40.761728,-73.983849,,126
126N,50 St,40.761728,-73.983849,,126
126NN,50 St,40.761728,-73.983849,,126N
126NS,50 St,40.761728,-73.983849,,126N
126S,50 St,40.761728,-73.983849,,126
126SN,50 St,40.761728,-73.983849,,126S
126SS,50 St,40.761728,-73.983849,,126S
127,Times Sq-42 St,40.755290,-73.987495,1,
127N,Times Sq-42 St,40.755290,-73.987495,,127
127S,Times Sq-42 St,40.755290,-73.987495,,127
127N,Times Sq-42 St,40.755290,-73.987495,,127
127NN,Times Sq-42 St,40.755290,-73.987495,,127N
127NS,Times Sq-42 St,40.755290,-73.987495,,127N
127S,Times Sq-42 St,40.755290,-73.987495,,127
127SN,Times Sq-42 St,40.755290,-73.987495,,127S
127SS,Times Sq-42 St,40.755290,-73.987495,,127S
128,34 St-Penn Station,40.750373,-73.991057,1,
128N,34 St-Penn Station,40.750373,-73.991057,,128
128S,34 St-Penn Station,40.750373,-73.991057,,128
128N,34 St-Penn Station,40.750373,-73.991057,,128
128NN,34 St-Penn Station,40.750373,-73.991057,,128N
128NS,34 St-Penn Station,40.750373,-73.991057,,128N
128S,34 St-Penn Station,40.750373,-73.991057,,128
128SN,34 St-Penn Station,40.750373,-73.991057,,128S
128SS,34 St-Penn Station,40.750373,-73.991057,,128S
129,28 St,40.747215,-73.993365,1,
129N,28 St,40.747215,-73.993365,,129
129S,28 St,40.747215,-73.993365,,129
129N,28 St,40.747215,-73.993365,,129
129NN,28 St,40.747215,-73.993365,,129N
129NS,28 St,40.747215,-73.993365,,129N
129S,28 St,40.747215,-73.993365,,129
129SN,28 St,40.747215,-73.993365,,129S
129SS,28 St,40.747215,-73.993365,,129S
130,23 St,40.744081,-73.995657,1,
130N,23 St,40.744081,-73.995657,,130
130S,23 St,40.744081,-73.995657,,130
130N,23 St,40.744081,-73.995657,,130
130NN,23 St,40.744081,-73.995657,,130N
130NS,23 St,40.744081,-73.995657,,130N
130S,23 St,40.744081,-73.995657,,130
130SN,23 St,40.744081,-73.995657,,130S
130SS,23 St,40.744081,-73.995657,,130S
131,18 St,40.741040,-73.997871,1,
131N,18 St,40.741040,-73.997871,,131
131S,18 St,40.741040,-73.997871,,131
131N,18 St,40.741040,-73.997871,,131
131NN,18 St,40.741040,-73.997871,,131N
131NS,18 St,40.741040,-73.997871,,131N
131S,18 St,40.741040,-73.997871,,131
131SN,18 St,40.741040,-73.997871,,131S
131SS,18 St,40.741040,-73.997871,,131S
132,14 St,40.737826,-74.000201,1,
132N,14 St,40.737826,-74.000201,,132
132S,14 St,40.737826,-74.000201,,132
132N,14 St,40.737826,-74.000201,,132
132NN,14 St,40.737826,-74.000201,,132N
132NS,14 St,40.737826,-74.000201,,132N
132S,14 St,40.737826,-74.000201,,132
132SN,14 St,40.737826,-74.000201,,132S
132SS,14 St,40.737826,-74.000201,,132S
133,Christopher St-Stonewall,40.733422,-74.002906,1,
133N,Christopher St-Stonewall,40.733422,-74.002906,,133
133S,Christopher St-Stonewall,40.733422,-74.002906,,133
133N,Christopher St-Stonewall,40.733422,-74.002906,,133
133NN,Christopher St-Stonewall,40.733422,-74.002906,,133N
133NS,Christopher St-Stonewall,40.733422,-74.002906,,133N
133S,Christopher St-Stonewall,40.733422,-74.002906,,133
133SN,Christopher St-Stonewall,40.733422,-74.002906,,133S
133SS,Christopher St-Stonewall,40.733422,-74.002906,,133S
134,Houston St,40.728251,-74.005367,1,
134N,Houston St,40.728251,-74.005367,,134
134S,Houston St,40.728251,-74.005367,,134
134N,Houston St,40.728251,-74.005367,,134
134NN,Houston St,40.728251,-74.005367,,134N
134NS,Houston St,40.728251,-74.005367,,134N
134S,Houston St,40.728251,-74.005367,,134
134SN,Houston St,40.728251,-74.005367,,134S
134SS,Houston St,40.728251,-74.005367,,134S
135,Canal St,40.722854,-74.006277,1,
135N,Canal St,40.722854,-74.006277,,135
135S,Canal St,40.722854,-74.006277,,135
135N,Canal St,40.722854,-74.006277,,135
135NN,Canal St,40.722854,-74.006277,,135N
135NS,Canal St,40.722854,-74.006277,,135N
135S,Canal St,40.722854,-74.006277,,135
135SN,Canal St,40.722854,-74.006277,,135S
135SS,Canal St,40.722854,-74.006277,,135S
136,Franklin St,40.719318,-74.006886,1,
136N,Franklin St,40.719318,-74.006886,,136
136S,Franklin St,40.719318,-74.006886,,136
136N,Franklin St,40.719318,-74.006886,,136
136NN,Franklin St,40.719318,-74.006886,,136N
136NS,Franklin St,40.719318,-74.006886,,136N
136S,Franklin St,40.719318,-74.006886,,136
136SN,Franklin St,40.719318,-74.006886,,136S
136SS,Franklin St,40.719318,-74.006886,,136S
137,Chambers St,40.715478,-74.009266,1,
137N,Chambers St,40.715478,-74.009266,,137
137S,Chambers St,40.715478,-74.009266,,137
137N,Chambers St,40.715478,-74.009266,,137
137NN,Chambers St,40.715478,-74.009266,,137N
137NS,Chambers St,40.715478,-74.009266,,137N
137S,Chambers St,40.715478,-74.009266,,137
137SN,Chambers St,40.715478,-74.009266,,137S
